CP,year,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,symbol,Cổ đông thiểu số,Doanh thu thuần,Lãi gộp,Thu nhập tài chính,Chi phí tài chính,Lãi/Lỗ từ hoạt động kinh doanh,Lợi nhuận khác,Chi phí bán hàng,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Giá vốn hàng bán,Lãi/lỗ từ công ty liên doanh
GVR,2021,26226269744269,0.2405753449224656,4158196263511,0.1027563323868624,,,,,,,,,,,,,,,-1681979286962,,,6212769218890,,-992548229630,119825569822.0,5340046559082,4158196263511,,GVR,1181850295571.0,26189593001148.0,7575288103430.0,830813573113.0,-719154123110.0,5783328011285.0,429441207605.0,-507093532539.0,1044967454846.0,0.0,-615526247241.0,-607999588765.0,26226269744269.0,-36676743121.0,-18614304897718.0,285453277353.0
GVR,2020,21140408643143,0.0663740726075217,3770729889631,0.16016044830115186,,,,,,,,,,,,,,,-1774060277264,,,5911174781928,,-1097558697209,262737526531.0,5076353611250,3770729889631,,GVR,1305623721619.0,21116314350816.0,4599195233204.0,2968395937100.0,-867058667345.0,4802983412892.0,1108191369036.0,-442912025818.0,1469460910652.0,0.0,-361269541616.0,-726129832902.0,21140408643143.0,-24094292327.0,-16517119117612.0,319423213015.0
HDB,2024,57995528000000,0.10172667750203422,12762953000000,0.2673103232700798,57995528000000.0,-27138452000000.0,30857076000000.0,3295623000000.0,-1879045000000.0,1416578000000.0,843813000000.0,68929000000.0,68253000000.0,869862000000.0,-163991000000.0,705871000000.0,71664000000.0,34032184000000.0,-11980755000000,22051429000000.0,-5321434000000.0,16729995000000,-3482347000000.0,-3561555000000,79208000000.0,13247648000000,12762953000000,3671.0,HDB,-484695000000.0,,,,,,,,,,,,,,,
HDB,2023,52640577000000,0.5796878674219477,10070898000000,0.29950525136539113,52640577000000.0,-30456603000000.0,22183974000000.0,2830168000000.0,-642366000000.0,2187802000000.0,564703000000.0,41723000000.0,1167005000000.0,541644000000.0,-282491000000.0,259153000000.0,9325000000.0,26413685000000.0,-9129202000000,17284483000000.0,-4267751000000.0,13016732000000,-2680719000000.0,-2724629000000,43910000000.0,10336013000000,10070898000000,3482.0,HDB,-265115000000.0,,,,,,,,,,,,,,,
HDB,2022,33323404000000,0.27304159005448075,7749794000000,0.2802130463289204,33323404000000.0,-15311836000000.0,18011568000000.0,3308455000000.0,-351637000000.0,2956818000000.0,134237000000.0,16986000000.0,312620000000.0,588126000000.0,-60036000000.0,528090000000.0,6785000000.0,21967104000000.0,-8630709000000,13336395000000.0,-3068339000000.0,10268056000000,-2058586000000.0,-2091986000000,33400000000.0,8209470000000,7749794000000,2689.0,HDB,-459676000000.0,,,,,,,,,,,,,,,
HDB,2021,26176210000000,0.13134510477176065,6053519000000,0.42470973410130364,26176210000000.0,-12285433000000.0,13890777000000.0,2127733000000.0,-200295000000.0,1927438000000.0,179248000000.0,100932000000.0,477213000000.0,496275000000.0,-313638000000.0,182637000000.0,0.0,16758245000000.0,-6382768000000,10375477000000.0,-2305860000000.0,8069617000000,-1616118000000.0,-1620180000000,4062000000.0,6453499000000,6053519000000,2403.0,HDB,-399980000000.0,,,,,,,,,,,,,,,
HDB,2020,23137246000000,0.17938459482272132,4248949000000,0.17870313912192914,23137246000000.0,-11239541000000.0,11897705000000.0,1088274000000.0,-138291000000.0,949983000000.0,167656000000.0,105179000000.0,139809000000.0,630093000000.0,-111250000000.0,518843000000.0,260000000.0,13779435000000.0,-6172829000000,7606606000000.0,-1788384000000.0,5818222000000,-1171125000000.0,-1164048000000,-7077000000.0,4647097000000,4248949000000,2667.0,HDB,-398148000000.0,,,,,,,,,,,,,,,
HPG,2024,140561387448572,0.16788764028869568,12021443836074,0.7587901514911872,,,,,,,,,,,,,,,-1545516022772,,,13693502261178,,-1765806007240,92327367333.0,12020023621271,12021443836074,,HPG,-1420214803.0,138855112131387.0,18497549127684.0,2618917240287.0,-3966636074605.0,13267005585330.0,426496675848.0,-2337308685264.0,1159769685093.0,0.0,-733273009245.0,-2287360810880.0,140561387448572.0,-1706275317185.0,-120357563003703.0,0.0
HPG,2023,120355231616139,-0.15700393486910685,6835064334356,-0.19431180160337386,,,,,,,,,,,,,,,-1307290336873,,,7792728743173,,-1073551888059,81211459967.0,6800388315081,6835064334356,,HPG,-34676019275.0,118953027893654.0,12937840695572.0,3173086404949.0,-5191511844389.0,7650762789307.0,141965953866.0,-1961362129952.0,771973465495.0,0.0,-630007511629.0,-3585077683881.0,120355231616139.0,-1402203722485.0,-106015187198082.0,0.0
HPG,2022,142770810676858,0.0,8483510554031,0.0,,,,,,,,,,,,,,,-1019444279447,,,9922941127284,,-1001020240086,-477491832682.0,8444429054516,8483510554031,,HPG,-39081499515.0,141409274460632.0,16763426239552.0,3743650707331.0,-7026723285241.0,9794030627309.0,128910499975.0,-2665806087302.0,872024724926.0,0.0,-743114224951.0,-3083638131818.0,142770810676858.0,-1361536216226.0,-124645848221080.0,-1072667584.0
