cp,year,shares_outstanding,close,eps,roa,roe,bvps,pe,pb,loi_nhuan_sau_thue_cua_co_dong_cong_ty_me_dong,tong_cong_tai_san_dong,von_chu_so_huu_dong
VCB,2022,4732516600.0,44.36,6317.783,0.016,0.22,28662.569,7.021,1.548,29899014000000,1813815170000000,135646085000000
VCB,2021,3708877400.0,44.98,5930.798,0.016,0.201,29439.212,7.584,1.528,21996601000000,1414986259000000,109186429000000
VCB,2020,3708877400.0,41.45,4974.905,0.014,0.196,25370.205,8.332,1.634,18451311000000,1326230092000000,94094979000000
VHM,2024,4107412000.0,40.65,7742.408,0.056,0.144,53742.837,5.25,0.756,31801258000000,564209360000000,220743975000000
VHM,2023,4354367500.0,41.9,7663.893,0.075,0.183,41943.246,5.467,0.999,33371406000000,444630675000000,182636306000000
VHM,2022,4354367500.0,47.8,6621.138,0.08,0.194,34108.706,7.219,1.401,28830869000000,361812647000000,148521843000000
VHM,2021,4354367500.0,79.38,8916.235,0.168,0.295,30178.301,8.903,2.63,38824562000000,230516471000000,131407411000000
VHM,2020,3349513900.0,62.41,8165.746,0.127,0.307,26609.806,7.643,2.345,27351280000000,215326377000000,89129915000000
VIB,2024,2979127800.0,16.2,2418.315,0.015,0.172,14051.7,6.699,1.153,7204470000000,493158370000000,41861809000000
VIB,2023,2536807500.0,13.07,3375.523,0.021,0.226,14955.643,3.872,0.874,8563053000000,409881373000000,37939587000000
VIB,2022,2107673000.0,11.94,4018.065,0.025,0.259,15491.512,2.972,0.771,8468767000000,342798925000000,32651042000000
VIB,2021,1553143000.0,14.58,4126.954,0.021,0.264,15639.732,3.533,0.932,6409750000000,309517129000000,24290740000000
VIB,2020,1109387900.0,4.14,4184.59,0.019,0.258,16201.559,0.989,0.256,4642334000000,244675677000000,17973814000000
VIC,2024,3878583300.0,40.65,3068.911,0.014,0.077,39662.544,13.246,1.025,11903028000000,836603903000000,153834481000000
VIC,2023,3878583300.0,43.7,556.112,0.003,0.015,38215.419,78.581,1.144,2156925000000,667655767000000,148221686000000
VIC,2022,3868857300.0,53.3,2269.885,0.015,0.065,35063.441,23.481,1.52,8781861000000,577407240000000,135655449000000
VIC,2021,3867553300.0,91.56,-649.993,-0.006,-0.016,41259.125,-140.863,2.219,-2513883000000,428384465000000,159571866000000
VIC,2020,3444769100.0,94.05,1586.355,0.013,0.04,39437.394,59.287,2.385,5464627000000,422503767000000,135852715000000
VJC,2024,541611334.0,99.2,2590.719,0.014,0.082,31607.006,38.291,3.139,1403162979000,99315254784593,17118712765104
VJC,2023,541611334.0,107.9,425.75,0.003,0.015,28162.521,253.435,3.831,230590889181,86925420916769,15253140303435
VJC,2022,541611334.0,106.0,-4177.348,-0.033,-0.152,27507.354,-25.375,3.854,-2262499009854,68036964433312,14898294823484
VJC,2021,541611334.0,128.3,137.709,0.001,0.004,31118.644,931.673,4.123,74584907230,51653704011340,16854210320480
VJC,2020,541611334.0,122.6,126.643,0.002,0.005,27655.254,968.077,4.433,68591150827,45196830231761,14978398985118
VNM,2024,2089955445.0,59.13,4494.024,0.171,0.26,17308.696,13.157,3.416,9392310356250,55049061537061,36174402829663
VNM,2023,2089955445.0,60.16,4245.934,0.168,0.253,16759.086,14.169,3.59,8873812416864,52673371104460,35025743765470
VNM,2022,2089955445.0,65.68,4074.739,0.176,0.26,15702.018,16.119,4.183,8516023694342,48482664236220,32816518355085
VNM,2021,2089955445.0,66.91,5039.57,0.197,0.294,17153.53,13.277,3.901,10532477099899,53332403438219,35850114249384
VNM,2020,2089955445.0,82.84,5310.609,0.229,0.33,16099.445,15.599,5.146,11098936856369,48432480673629,33647122229822
VPB,2024,7933923600.0,18.01,1988.776,0.017,0.107,18562.728,9.056,0.97,15778795000000,923847637000000,147275262000000
VPB,2023,7933923600.0,18.5,1257.126,0.012,0.071,17619.974,14.716,1.05,9973939000000,817566922000000,139795527000000
VPB,2022,6743423600.0,14.58,2694.176,0.029,0.176,15348.572,5.412,0.95,18167968000000,631012886000000,103501920000000
VPB,2021,4505693000.0,20.85,2601.422,0.021,0.136,19148.696,8.015,1.089,11721208000000,547409439000000,86278147000000
VPB,2020,2529968000.0,7.95,4116.163,0.025,0.197,20867.261,1.931,0.381,10413760000000,419026527000000,52793502000000
VRE,2024,2328818400.0,17.05,1758.737,0.074,0.098,18001.679,9.694,0.947,4095780000000,55226155000000,41922641000000
VRE,2023,2328818400.0,22.7,1893.063,0.093,0.117,16242.938,11.991,1.398,4408600000000,47653731000000,37826853000000
VRE,2022,2328818400.0,26.25,1192.045,0.065,0.083,14352.639,22.021,1.829,2776057000000,42701088000000,33424690000000
VRE,2021,2328818400.0,30.4,564.454,0.035,0.043,13161.537,53.857,2.31,1314510000000,37873488000000,30650829000000
VRE,2020,2328818400.0,31.35,1022.774,0.06,0.081,12596.867,30.652,2.489,2381855000000,39816432000000,29335816000000
